iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5] 115.00-115.50 sec   130 MBytes  2177 Mbits/sec    0   1.26 MBytes       
[  5] 115.50-116.00 sec   135 MBytes  2260 Mbits/sec    0   1.29 MBytes       
[  5] 116.00-116.50 sec   144 MBytes  2412 Mbits/sec    0   1.32 MBytes       
[  5] 116.50-117.00 sec   144 MBytes  2409 Mbits/sec    0   1.34 MBytes       
[  5] 117.00-117.50 sec   143 MBytes  2402 Mbits/sec    0   1.36 MBytes       
[  5] 117.50-118.00 sec   145 MBytes  2427 Mbits/sec    0   1.37 MBytes       
[  5] 118.00-118.50 sec   143 MBytes  2396 Mbits/sec   14    998 KBytes       
[  5] 118.50-119.00 sec   109 MBytes  1829 Mbits/sec    0   1.01 MBytes       
[  5] 119.00-119.50 sec   112 MBytes  1872 Mbits/sec    0   1.05 MBytes       
[  5] 119.50-120.00 sec   113 MBytes  1899 Mbits/sec    0   1.08 MBytes       
[  5] 120.00-120.50 sec   114 MBytes  1916 Mbits/sec    0   1.10 MBytes       
[  5] 120.50-121.00 sec   114 MBytes  1908 Mbits/sec    0   1.12 MBytes       
[  5] 121.00-121.50 sec   115 MBytes  1926 Mbits/sec    0   1.14 MBytes       
[  5] 121.50-122.00 sec   119 MBytes  1992 Mbits/sec    0   1.15 MBytes       
[  5] 122.00-122.50 sec   120 MBytes  2009 Mbits/sec    0   1.16 MBytes       
[  5] 122.50-123.00 sec   124 MBytes  2085 Mbits/sec    0   1.17 MBytes       
[  5] 123.00-123.50 sec   122 MBytes  2040 Mbits/sec    0   1.17 MBytes       
[  5] 123.50-124.00 sec   120 MBytes  2020 Mbits/sec    0   1.18 MBytes       
